,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Fees & Commission Expense,Dividend Income,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
56,6/30/2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,816,000","3,861,000","4,400,000","4,445,000",-,-,"3,816,000",-,-,-,-,"3,861,000","3,861,000",-,"3,861,000",-,-,0,0
57,3/31/2008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,861,000","3,861,000","3,861,000","3,861,000",-,-,"3,861,000",1.62,1.62,"2,376,000","2,376,000","3,861,000","3,861,000",-,"3,861,000",-,-,0,0
58,12/31/2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,029,000","4,119,000","5,441,000","5,441,000",-,-,"4,029,000",-,-,-,-,"4,119,000","4,119,000",-,"4,119,000",-,-,0,0
59,9/30/2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,119,000","4,119,000","4,119,000","4,119,000",-,-,"4,119,000",1.53,1.50,"2,700,958","2,740,102","4,119,000","4,119,000",-,"4,119,000",-,-,0,0
60,6/30/2007,"21,359,000","9,115,000","21,784,000","12,669,000","12,244,000","1,989,000","5,248,000","5,248,000",-,-,-,-,-,-,-,-,-,"6,771,000","1,323,000","5,448,000","5,448,000","5,758,000","5,448,000","-310,000",-,"5,448,000",2.38,2.35,"2,293,895","2,318,298","5,448,000","5,448,000",-,"5,448,000",-,-,0,0
61,3/31/2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,448,000","5,448,000","5,448,000","5,448,000",-,-,"5,448,000",2.07,2.07,"2,630,827","2,630,827","5,448,000","5,448,000",-,"5,448,000",-,-,0,0
62,12/31/2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,046,000","3,136,000","4,218,000","4,218,000",-,-,"3,046,000",-,-,-,-,"3,136,000","3,136,000",-,"3,136,000",-,-,0,0
63,9/30/2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,218,000","4,218,000","4,218,000","4,218,000",-,-,"4,218,000",1.60,1.60,"2,558,533","2,594,336","4,218,000","4,218,000",-,"4,218,000",-,-,0,0
64,6/30/2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,319,000","4,364,000","4,835,000","4,880,000",-,-,"4,319,000",-,-,-,-,"4,364,000","4,364,000",-,"4,364,000",-,-,0,0
65,3/31/2006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,365,000","4,365,000","4,365,000","4,365,000",-,-,"4,365,000",1.70,1.68,"2,503,222","2,503,222","4,365,000","4,365,000",-,"4,365,000",-,-,0,0
66,12/31/2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,721,000","3,742,000","4,534,000","3,742,000",-,-,"3,721,000",-,-,-,-,"3,742,000","3,742,000",-,"3,742,000",-,-,0,0
67,9/30/2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,743,000","3,743,000","3,743,000","3,743,000",-,-,"3,743,000",1.46,1.46,"2,564,301","2,564,301","3,743,000","3,743,000",-,"3,743,000",-,-,0,0
